"","EndDates","EndLocation","StartDates","StartLocation"
"424",2017-12-07,"Ventus (Opp. LT13)",2017-12-07,"KR MRT Station "
"425",2016-05-06,"University Town",2016-05-06,"S17"
"426",2016-06-02,"Raffles Hall",2016-06-02,"Central Library"
"427",2016-11-03,"University Town",2016-11-03,"KR MRT Station "
"428",2017-07-07,"COM2",2017-07-07,"University Town"
"429",2017-07-17,"University Health Centre",2017-07-17,"Opp. KR MRT Station"
"430",2015-06-04,"University Town",2015-06-04,"COM2"
"431",2017-10-05,"COM2",2017-10-05,"University Town"
"432",2015-01-23,"COM2",2015-01-23,"University Town"
"433",2017-10-09,"LT29",2017-10-09,"KR MRT Station "
"434",2015-04-14,"KR MRT Station ",2015-04-14,"Carpark 11 (BIZ)"
"435",2017-09-08,"Opp. University Health Centre",2017-09-08,"COM2"
"436",2015-06-22,"House 7",2015-06-22,"COM2"
"437",2017-03-31,"University Town",2017-03-31,"House 15"
"438",2016-07-26,"KR MRT Station ",2016-07-26,"University Town"
"439",2017-08-18,"Opp. KR MRT Station",2017-08-18,"Museum"
"440",2015-02-16,"Kent Ridge Bus Terminal",2015-02-16,"Opp. House 12"
"441",2017-06-20,"Computer Centre",2017-06-20,"Computer Centre"
"442",2016-11-24,"University Town",2016-11-24,"S17"
"443",2016-02-17,"LT29",2016-02-17,"Central Library"
"444",2017-10-02,"University Town",2017-10-02,"Opp. University Health Centre"
"445",2015-10-20,"Opp. KR MRT Station",2015-10-20,"LT29"
"446",2017-10-19,"University Hall",2017-10-19,"University Town"
"447",2017-05-09,"S17",2017-05-09,"University Town"
"448",2017-09-06,"COM2",2017-09-06,"Computer Centre"
"449",2015-11-17,"University Town",2015-11-17,"S17"
"450",2015-01-06,"University Town",2015-01-06,"Kent Ridge Bus Terminal"
"451",2017-11-24,"LT29",2017-11-24,"KR MRT Station "
"452",2015-12-04,"KR MRT Station ",2015-12-04,"University Town"
"453",2016-06-30,"COM2",2016-06-30,"Opp. KR MRT Station"
"454",2017-05-17,"University Town",2017-05-17,"S17"
"455",2017-04-25,"Central Library",2017-04-25,"LT29"
"456",2017-03-02,"LT13",2017-03-02,"Opp. Hon Sui Sen Memorial Library"
"457",2017-04-04,"LT29",2017-04-04,"Computer Centre"
"458",2017-12-28,"KR MRT Station ",2017-12-28,"Opp. House 12"
"459",2016-01-26,"KR MRT Station ",2016-01-26,"Opp. KR MRT Station"
"460",2016-01-14,"KR MRT Station ",2016-01-14,"University Town"
"461",2015-07-09,"Computer Centre",2015-07-09,"COM2"
"462",2015-05-28,"Opp. KR MRT Station",2015-05-28,"LT29"
"463",2017-03-03,"University Hall",2017-03-03,"KR MRT Station "
"464",2017-09-13,"KR MRT Station ",2017-09-13,"Central Library"
"465",2017-08-08,"Central Library",2017-08-08,"Opp. KR MRT Station"
"466",2015-09-17,"University Town",2015-09-17,"Central Library"
"467",2015-08-08,"Carpark 11 (BIZ)",2015-08-08,"LT29"
"468",2016-11-23,"Opp. NUSS",2016-11-23,"COM2"
"469",2017-03-01,"Opp. NUSS",2017-03-01,"Opp. Yusof Ishak House"
"470",2016-01-13,"University Health Centre",2016-01-13,"BIZ2"
"471",2016-01-08,"University Town",2016-01-08,"LT29"
"472",2015-09-09,"Yusof Ishak House",2015-09-09,"University Town"
"473",2017-11-22,"LT13",2017-11-22,"BIZ2"
"474",2017-01-12,"University Town",2017-01-12,"KR MRT Station "
"475",2015-09-23,"University Town",2015-09-23,"Computer Centre"
"476",2015-05-18,"PGP",2015-05-18,"Opp. KR MRT Station"
"477",2016-07-07,"Opp. KR MRT Station",2016-07-07,"S17"
"478",2016-10-13,"Carpark 11 (BIZ)",2016-10-13,"LT29"
"479",2015-10-22,"Computer Centre",2015-10-22,"LT29"
"480",2016-11-09,"University Town",2016-11-09,"Computer Centre"
"481",2016-10-13,"Computer Centre",2016-10-13,"KR MRT Station "
"482",2016-04-21,"KR MRT Station ",2016-04-21,"Opp. KR MRT Station"
"483",2016-09-08,"LT13",2016-09-08,"House 15"
"484",2017-05-10,"LT29",2017-05-10,"University Hall"
"485",2015-06-02,"KR MRT Station ",2015-06-02,"Computer Centre"
"486",2015-05-06,"University Town",2015-05-06,"KR MRT Station "
"487",2016-11-04,"LT29",2016-11-04,"Central Library"
"488",2016-12-09,"University Town",2016-12-09,"COM2"
"489",2015-02-11,"Central Library",2015-02-11,"Kent Ridge Bus Terminal"
"490",2016-08-30,"Computer Centre",2016-08-30,"Central Library"
"491",2017-03-21,"LT29",2017-03-21,"KR MRT Station "
"492",2016-05-27,"University Town",2016-05-27,"Central Library"
"493",2015-05-11,"Opp. KR MRT Station",2015-05-11,"KR MRT Station "
"494",2017-10-16,"Opp. KR MRT Station",2017-10-16,"University Town"
"495",2015-12-09,"University Town",2015-12-09,"University Town"
"496",2016-08-23,"University Town",2016-08-23,"S17"
"497",2015-04-19,"Opp. KR MRT Station",2015-04-19,"University Town"
"498",2016-10-01,"Computer Centre",2016-10-01,"University Town"
"499",2016-12-29,"House 12",2016-12-29,"University Town"
"500",2017-09-11,"Central Library",2017-09-11,"University Town"
"501",2015-02-05,"KR MRT Station ",2015-02-05,"Opp. Hon Sui Sen Memorial Library"
"502",2017-05-10,"Opp. KR MRT Station",2017-05-10,"LT29"
"503",2015-05-27,"COM2",2015-05-27,"Opp. Hon Sui Sen Memorial Library"
"504",2015-07-05,"University Town",2015-07-05,"House 15"
"505",2015-09-11,"KR MRT Station ",2015-09-11,"LT29"
"506",2017-02-23,"LT29",2017-02-23,"Central Library"
"507",2016-12-19,"KR MRT Station ",2016-12-19,"COM2"
"508",2016-01-28,"University Town",2016-01-28,"S17"
"509",2016-06-09,"University Town",2016-06-09,"Computer Centre"
"510",2015-05-08,"LT29",2015-05-08,"KR MRT Station "
"511",2016-06-27,"University Town",2016-06-27,"COM2"
"512",2015-05-25,"LT29",2015-05-25,"Opp. House 12"
"513",2015-07-16,"LT29",2015-07-16,"S17"
"514",2016-05-01,"KR MRT Station ",2016-05-01,"LT29"
"515",2016-07-05,"University Town",2016-07-05,"S17"
"516",2016-04-18,"KR MRT Station ",2016-04-18,"S17"
"517",2017-10-20,"BIZ2",2017-10-20,"LT29"
"518",2015-11-25,"Opp. KR MRT Station",2015-11-25,"University Health Centre"
"519",2015-01-19,"University Town",2015-01-19,"University Town"
"520",2015-12-10,"Computer Centre",2015-12-10,"BIZ2"
"521",2016-02-10,"LT13",2016-02-10,"Opp. KR MRT Station"
"522",2016-05-02,"LT29",2016-05-02,"Opp. KR MRT Station"
"523",2017-08-07,"KR MRT Station ",2017-08-07,"House 7"
"524",2017-01-18,"Computer Centre",2017-01-18,"University Town"
"525",2016-06-09,"Central Library",2016-06-09,"S17"
"526",2017-04-06,"House 12",2017-04-06,"University Town"
"527",2017-12-26,"COM2",2017-12-26,"KR MRT Station "
"528",2017-06-05,"Computer Centre",2017-06-05,"University Hall"
"529",2017-07-07,"LT29",2017-07-07,"Opp. KR MRT Station"
"530",2015-11-11,"KR MRT Station ",2015-11-11,"Carpark 11 (BIZ)"
"531",2017-02-26,"University Town",2017-02-26,"LT29"
"532",2017-08-25,"S17",2017-08-25,"Ventus (Opp. LT13)"
"533",2015-11-16,"Central Library",2015-11-16,"LT29"
"534",2017-03-23,"University Town",2017-03-23,"Opp. Hon Sui Sen Memorial Library"
"535",2017-03-24,"House 12",2017-03-24,"Opp. University Hall"
"536",2015-08-01,"KR MRT Station ",2015-08-01,"University Town"
"537",2017-05-08,"LT29",2017-05-08,"Raffles Hall"
"538",2017-05-18,"KR MRT Station ",2017-05-18,"Computer Centre"
"539",2016-06-30,"KR MRT Station ",2016-06-30,"University Town"
"540",2015-12-24,"S17",2015-12-24,"House 7"
"541",2017-10-03,"KR MRT Station ",2017-10-03,"LT29"
"542",2016-05-08,"Opp. KR MRT Station",2016-05-08,"Ventus (Opp. LT13)"
"543",2015-07-24,"Opp. NUSS",2015-07-24,"University Town"
"544",2015-04-08,"S17",2015-04-08,"Raffles Hall"
"545",2017-12-05,"S17",2017-12-05,"Central Library"
"546",2015-12-22,"LT29",2015-12-22,"Opp. KR MRT Station"
"547",2017-01-16,"House 12",2017-01-16,"University Town"
"548",2015-06-03,"Opp. KR MRT Station",2015-06-03,"S17"
"549",2016-05-23,"KR MRT Station ",2016-05-23,"University Town"
"550",2016-11-01,"Yusof Ishak House",2016-11-01,"KR MRT Station "
"551",2016-06-09,"COM2",2016-06-09,"Opp. University Health Centre"
"552",2016-02-23,"LT29",2016-02-23,"KR MRT Station "
"553",2017-01-06,"Opp. NUSS",2017-01-06,"KR MRT Station "
"554",2017-01-17,"University Town",2017-01-17,"Opp. KR MRT Station"
"555",2015-10-01,"LT29",2015-10-01,"University Town"
"556",2017-11-12,"KR MRT Station ",2017-11-12,"Central Library"
"557",2016-03-17,"Computer Centre",2016-03-17,"COM2"
"558",2015-07-25,"Museum",2015-07-25,"COM2"
"559",2017-05-09,"COM2",2017-05-09,"University Town"
"560",2016-08-01,"S17",2016-08-01,"University Town"
"561",2017-11-24,"Opp. Hon Sui Sen Memorial Library",2017-11-24,"University Town"
"562",2016-08-22,"Opp. KR MRT Station",2016-08-22,"Central Library"
"563",2017-10-23,"LT29",2017-10-23,"KR MRT Station "
"564",2016-11-03,"Central Library",2016-11-03,"University Town"
"565",2016-05-06,"COM2",2016-05-06,"Opp. KR MRT Station"
"566",2015-06-10,"Computer Centre",2015-06-10,"KR MRT Station "
"567",2016-10-22,"BIZ2",2016-10-22,"University Town"
"568",2015-05-20,"Central Library",2015-05-20,"COM2"
"569",2017-02-11,"Opp. University Hall",2017-02-11,"KR MRT Station "
"570",2017-12-22,"LT29",2017-12-22,"University Town"
"571",2017-04-22,"University Town",2017-04-22,"S17"
"572",2015-01-19,"COM2",2015-01-19,"Central Library"
"573",2017-06-13,"Central Library",2017-06-13,"S17"
"574",2016-01-05,"Opp. KR MRT Station",2016-01-05,"Central Library"
"575",2016-06-09,"Central Library",2016-06-09,"University Health Centre"
"576",2016-01-26,"University Health Centre",2016-01-26,"S17"
"577",2015-12-02,"University Town",2015-12-02,"Computer Centre"
"578",2016-04-08,"Carpark 11 (BIZ)",2016-04-08,"LT29"
"579",2017-12-22,"Opp. KR MRT Station",2017-12-22,"University Town"
"580",2017-05-19,"KR MRT Station ",2017-05-19,"Opp. KR MRT Station"
"581",2016-09-23,"University Town",2016-09-23,"KR MRT Station "
"582",2017-12-14,"Opp. KR MRT Station",2017-12-14,"S17"
"583",2015-06-16,"COM2",2015-06-16,"Carpark 11 (BIZ)"
"584",2017-12-07,"KR MRT Station ",2017-12-07,"LT29"
"585",2015-07-29,"Opp. University Health Centre",2015-07-29,"University Town"
"586",2017-04-08,"S17",2017-04-08,"KR MRT Station "
"587",2015-08-18,"LT29",2015-08-18,"University Town"
"588",2015-04-26,"University Town",2015-04-26,"KR MRT Station "
"589",2017-04-05,"LT29",2017-04-05,"KR MRT Station "
"590",2017-02-24,"LT29",2017-02-24,"COM2"
"591",2015-07-02,"University Town",2015-07-02,"KR MRT Station "
"592",2016-08-18,"University Town",2016-08-18,"COM2"
"593",2016-12-05,"University Town",2016-12-05,"Ventus (Opp. LT13)"
"594",2015-11-01,"S17",2015-11-01,"COM2"
"595",2015-07-09,"EA",2015-07-09,"LT29"
"596",2015-02-23,"KR MRT Station ",2015-02-23,"COM2"
"597",2016-08-03,"COM2",2016-08-03,"University Town"
"598",2015-09-10,"EA",2015-09-10,"BIZ2"
"599",2015-06-10,"Carpark 11 (BIZ)",2015-06-10,"KR MRT Station "
"600",2016-12-01,"Central Library",2016-12-01,"Computer Centre"
"601",2015-04-29,"S17",2015-04-29,"Central Library"
"602",2015-02-06,"KR MRT Station ",2015-02-06,"LT29"
"603",2016-04-20,"Opp. KR MRT Station",2016-04-20,"Central Library"
"604",2015-06-02,"Central Library",2015-06-02,"KR MRT Station "
"605",2017-08-16,"Opp. KR MRT Station",2017-08-16,"S17"
"606",2016-05-19,"S17",2016-05-19,"KR MRT Station "
"607",2016-11-14,"LT29",2016-11-14,"KR MRT Station "
"608",2017-11-04,"University Town",2017-11-04,"S17"
"609",2016-09-15,"University Town",2016-09-15,"Central Library"
"610",2015-12-01,"Opp. Hon Sui Sen Memorial Library",2015-12-01,"KR MRT Station "
"611",2016-10-03,"COM2",2016-10-03,"S17"
"612",2017-04-24,"University Town",2017-04-24,"BIZ2"
"613",2015-08-26,"KR MRT Station ",2015-08-26,"LT13"
"614",2017-10-24,"S17",2017-10-24,"University Town"
"615",2017-04-21,"COM2",2017-04-21,"KR MRT Station "
"616",2015-08-11,"Opp. KR MRT Station",2015-08-11,"LT29"
"617",2017-10-15,"KR MRT Station ",2017-10-15,"University Town"
"618",2015-02-10,"University Hall",2015-02-10,"EA"
"619",2017-04-01,"KR MRT Station ",2017-04-01,"Central Library"
"620",2015-10-15,"LT29",2015-10-15,"Computer Centre"
"621",2017-04-24,"University Hall",2017-04-24,"COM2"
"622",2015-11-11,"Computer Centre",2015-11-11,"KR MRT Station "
"623",2017-07-14,"Opp. KR MRT Station",2017-07-14,"Central Library"
"624",2015-09-24,"University Town",2015-09-24,"KR MRT Station "
"625",2015-09-18,"COM2",2015-09-18,"Carpark 11 (BIZ)"
"626",2015-08-28,"BIZ2",2015-08-28,"AS7"
"627",2015-08-15,"S17",2015-08-15,"University Health Centre"
"628",2015-04-06,"University Town",2015-04-06,"Opp. KR MRT Station"
"629",2016-11-24,"University Town",2016-11-24,"COM2"
"630",2017-02-04,"Museum",2017-02-04,"KR MRT Station "
"631",2015-05-06,"COM2",2015-05-06,"University Town"
"632",2017-02-18,"KR MRT Station ",2017-02-18,"LT29"
"633",2015-03-03,"AS7",2015-03-03,"University Hall"
"634",2016-04-21,"LT29",2016-04-21,"Museum"
"635",2015-11-29,"KR MRT Station ",2015-11-29,"Central Library"
"636",2017-09-15,"LT13",2017-09-15,"Computer Centre"
"637",2017-12-18,"Central Library",2017-12-18,"PGP"
"638",2015-04-22,"KR MRT Station ",2015-04-22,"University Town"
"639",2015-09-18,"Central Library",2015-09-18,"BIZ2"
"640",2017-08-17,"Carpark 11 (BIZ)",2017-08-17,"Central Library"
"641",2015-06-29,"LT29",2015-06-29,"University Town"
"642",2017-12-05,"COM2",2017-12-05,"University Town"
"643",2017-05-22,"Computer Centre",2017-05-22,"Opp. University Hall"
"644",2015-06-18,"University Town",2015-06-18,"KR MRT Station "
"645",2017-10-16,"COM2",2017-10-16,"Computer Centre"
"646",2016-12-06,"Opp. KR MRT Station",2016-12-06,"KR MRT Station "
"647",2015-09-01,"University Town",2015-09-01,"S17"
"648",2017-11-22,"Opp. KR MRT Station",2017-11-22,"Central Library"
"649",2015-09-14,"LT29",2015-09-14,"University Town"
"650",2016-11-18,"Opp. KR MRT Station",2016-11-18,"Ventus (Opp. LT13)"
"651",2017-05-19,"Computer Centre",2017-05-19,"COM2"
"652",2015-09-24,"University Town",2015-09-24,"Computer Centre"
"653",2016-03-21,"LT29",2016-03-21,"Yusof Ishak House"
"654",2015-01-12,"University Town",2015-01-12,"KR MRT Station "
"655",2015-01-29,"COM2",2015-01-29,"University Town"
"656",2017-03-13,"Computer Centre",2017-03-13,"KR MRT Station "
"657",2015-01-13,"S17",2015-01-13,"University Town"
"658",2017-05-24,"LT29",2017-05-24,"University Town"
"659",2015-10-13,"COM2",2015-10-13,"KR MRT Station "
"660",2016-09-23,"S17",2016-09-23,"Central Library"
"661",2015-05-13,"LT29",2015-05-13,"KR MRT Station "
"662",2017-09-20,"LT29",2017-09-20,"PGP"
"663",2015-11-09,"University Town",2015-11-09,"Computer Centre"
"664",2017-07-13,"COM2",2017-07-13,"LT29"
"665",2015-06-09,"S17",2015-06-09,"University Town"
"666",2016-05-06,"University Health Centre",2016-05-06,"COM2"
"667",2017-01-16,"Opp. KR MRT Station",2017-01-16,"University Town"
"668",2016-04-08,"LT29",2016-04-08,"KR MRT Station "
"669",2015-05-13,"LT29",2015-05-13,"S17"
"670",2016-11-17,"Opp. NUSS",2016-11-17,"University Health Centre"
"671",2015-01-08,"Opp. KR MRT Station",2015-01-08,"KR MRT Station "
"672",2015-12-24,"S17",2015-12-24,"LT29"
"673",2016-05-03,"KR MRT Station ",2016-05-03,"Computer Centre"
"674",2016-08-18,"Central Library",2016-08-18,"KR MRT Station "
"675",2015-05-07,"S17",2015-05-07,"Opp. KR MRT Station"
"676",2017-08-24,"S17",2017-08-24,"Opp. KR MRT Station"
"677",2015-04-05,"Central Library",2015-04-05,"University Town"
"678",2015-08-10,"Computer Centre",2015-08-10,"Central Library"
"679",2017-11-17,"S17",2017-11-17,"Kent Ridge Bus Terminal"
"680",2016-04-28,"Central Library",2016-04-28,"S17"
"681",2015-03-06,"COM2",2015-03-06,"LT29"
"682",2016-09-30,"KR MRT Station ",2016-09-30,"LT29"
"683",2016-08-10,"KR MRT Station ",2016-08-10,"University Town"
"684",2015-07-29,"Opp. KR MRT Station",2015-07-29,"COM2"
"685",2017-01-15,"LT29",2017-01-15,"KR MRT Station "
"686",2016-04-14,"LT29",2016-04-14,"Kent Ridge Bus Terminal"
"687",2015-07-30,"Ventus (Opp. LT13)",2015-07-30,"KR MRT Station "
"688",2017-09-05,"Computer Centre",2017-09-05,"Opp. KR MRT Station"
"689",2016-09-29,"House 7",2016-09-29,"University Town"
"690",2016-03-28,"KR MRT Station ",2016-03-28,"Central Library"
"691",2016-07-15,"Computer Centre",2016-07-15,"LT29"
"692",2015-04-25,"BIZ2",2015-04-25,"KR MRT Station "
"693",2015-04-10,"Computer Centre",2015-04-10,"LT29"
"694",2015-05-26,"KR MRT Station ",2015-05-26,"University Town"
"695",2015-09-15,"Central Library",2015-09-15,"University Town"
"696",2016-01-25,"LT29",2016-01-25,"PGP"
"697",2015-11-03,"Central Library",2015-11-03,"University Town"
"698",2017-10-25,"COM2",2017-10-25,"S17"
"699",2017-06-07,"Opp. KR MRT Station",2017-06-07,"KR MRT Station "
"700",2016-05-25,"University Town",2016-05-25,"AS7"
"701",2015-10-29,"University Town",2015-10-29,"Central Library"
"702",2017-02-20,"KR MRT Station ",2017-02-20,"Computer Centre"
"703",2015-02-12,"KR MRT Station ",2015-02-12,"Central Library"
"704",2017-08-07,"LT29",2017-08-07,"Central Library"
"705",2015-03-29,"LT29",2015-03-29,"Computer Centre"
"706",2015-06-03,"COM2",2015-06-03,"KR MRT Station "
"707",2017-10-15,"LT29",2017-10-15,"COM2"
"708",2015-01-12,"Computer Centre",2015-01-12,"S17"
"709",2017-04-28,"Opp. KR MRT Station",2017-04-28,"Computer Centre"
"710",2017-11-21,"University Town",2017-11-21,"Computer Centre"
"711",2017-09-20,"Central Library",2017-09-20,"Opp. KR MRT Station"
"712",2015-04-08,"Opp. University Hall",2015-04-08,"COM2"
"713",2016-05-12,"LT29",2016-05-12,"Opp. NUSS"
"714",2015-07-27,"Opp. KR MRT Station",2015-07-27,"LT29"
"715",2015-08-11,"COM2",2015-08-11,"University Town"
"716",2017-01-05,"LT29",2017-01-05,"COM2"
"717",2016-05-05,"University Health Centre",2016-05-05,"COM2"
"718",2016-11-29,"KR MRT Station ",2016-11-29,"Opp. KR MRT Station"
"719",2017-11-02,"KR MRT Station ",2017-11-02,"LT29"
"720",2016-12-21,"University Town",2016-12-21,"KR MRT Station "
"721",2017-11-21,"University Town",2017-11-21,"Opp. University Hall"
"722",2017-06-19,"University Town",2017-06-19,"KR MRT Station "
"723",2016-04-08,"COM2",2016-04-08,"Computer Centre"
"724",2016-10-25,"Central Library",2016-10-25,"S17"
"725",2015-01-06,"COM2",2015-01-06,"LT29"
"726",2017-12-27,"Opp. KR MRT Station",2017-12-27,"LT29"
"727",2017-06-26,"COM2",2017-06-26,"Ventus (Opp. LT13)"
"728",2017-05-03,"LT29",2017-05-03,"Central Library"
"729",2016-10-05,"S17",2016-10-05,"University Town"
"730",2015-03-01,"KR MRT Station ",2015-03-01,"University Town"
"731",2015-01-19,"Central Library",2015-01-19,"COM2"
"732",2016-05-16,"Museum",2016-05-16,"Central Library"
"733",2015-07-04,"University Town",2015-07-04,"Opp. KR MRT Station"
"734",2017-02-21,"KR MRT Station ",2017-02-21,"COM2"
"735",2016-03-30,"Central Library",2016-03-30,"LT29"
"736",2017-11-09,"S17",2017-11-09,"Opp. KR MRT Station"
"737",2017-07-11,"University Town",2017-07-11,"University Town"
"738",2015-09-03,"Opp. KR MRT Station",2015-09-03,"S17"
"739",2017-07-28,"Opp. KR MRT Station",2017-07-28,"PGP"
"740",2015-04-08,"S17",2015-04-08,"LT29"
"741",2016-10-24,"University Town",2016-10-24,"Central Library"
"742",2016-09-27,"University Town",2016-09-27,"S17"
"743",2015-12-29,"BIZ2",2015-12-29,"COM2"
"744",2016-02-10,"S17",2016-02-10,"Opp. KR MRT Station"
"745",2016-08-01,"University Town",2016-08-01,"Central Library"
"746",2017-02-16,"COM2",2017-02-16,"University Town"
"747",2016-03-24,"KR MRT Station ",2016-03-24,"COM2"
"748",2015-07-16,"KR MRT Station ",2015-07-16,"S17"
"749",2015-12-22,"KR MRT Station ",2015-12-22,"University Town"
"750",2015-09-03,"Central Library",2015-09-03,"COM2"
"751",2016-01-14,"KR MRT Station ",2016-01-14,"Raffles Hall"
"752",2016-06-04,"University Town",2016-06-04,"LT29"
"753",2017-06-08,"KR MRT Station ",2017-06-08,"BIZ2"
"754",2017-09-04,"Central Library",2017-09-04,"House 12"
"755",2015-04-30,"Computer Centre",2015-04-30,"KR MRT Station "
"756",2016-09-16,"Computer Centre",2016-09-16,"LT29"
"757",2015-07-31,"KR MRT Station ",2015-07-31,"Central Library"
"758",2017-08-14,"COM2",2017-08-14,"KR MRT Station "
"759",2016-09-09,"KR MRT Station ",2016-09-09,"University Town"
"760",2017-06-22,"S17",2017-06-22,"KR MRT Station "
"761",2015-03-10,"Opp. House 12",2015-03-10,"Central Library"
"762",2015-09-22,"Opp. KR MRT Station",2015-09-22,"KR MRT Station "
"763",2017-05-04,"University Town",2017-05-04,"BIZ2"
"764",2016-01-14,"University Town",2016-01-14,"Central Library"
"765",2017-09-25,"KR MRT Station ",2017-09-25,"Computer Centre"
"766",2016-05-16,"LT29",2016-05-16,"S17"
"767",2017-03-13,"University Town",2017-03-13,"LT29"
"768",2017-09-21,"S17",2017-09-21,"KR MRT Station "
"769",2017-12-06,"Central Library",2017-12-06,"COM2"
"770",2017-08-29,"LT29",2017-08-29,"KR MRT Station "
"771",2017-07-19,"Opp. University Hall",2017-07-19,"Raffles Hall"
"772",2016-06-08,"House 7",2016-06-08,"University Town"
"773",2017-01-12,"University Town",2017-01-12,"AS7"
"774",2015-03-13,"University Town",2015-03-13,"Computer Centre"
"775",2016-07-21,"Central Library",2016-07-21,"KR MRT Station "
"776",2017-09-27,"KR MRT Station ",2017-09-27,"Opp. Yusof Ishak House"
